,zz500
2014-01-03 11:15:00,-125.0
2014-01-03 11:16:00,-125.0
2014-01-03 11:17:00,-125.0
2014-01-03 11:18:00,-125.0
2014-01-03 11:19:00,-125.0
2014-01-03 11:20:00,-125.0
2014-01-03 11:21:00,-125.0
2014-01-03 11:22:00,-1.0
2014-01-03 11:23:00,-1.0
2014-01-03 11:24:00,124.0
2014-01-03 11:25:00,124.0
2014-01-03 11:26:00,124.0
2014-01-03 11:27:00,124.0
2014-01-03 11:28:00,124.0
2014-01-03 11:29:00,124.0
2014-01-03 11:30:00,124.0
2014-01-03 13:01:00,124.0
2014-01-03 13:02:00,124.0
2014-01-03 13:03:00,124.0
2014-01-03 13:04:00,124.0
2014-01-03 13:05:00,124.0
2014-01-03 13:06:00,124.0
2014-01-03 13:07:00,124.0
2014-01-03 13:08:00,124.0
2014-01-03 13:09:00,124.0
2014-01-03 13:10:00,124.0
2014-01-03 13:11:00,124.0
2014-01-03 13:12:00,124.0
2014-01-03 13:13:00,124.0
2014-01-03 13:14:00,-1.0
2014-01-03 13:15:00,-1.0
2014-01-03 13:16:00,-125.0
2014-01-03 13:17:00,-125.0
2014-01-03 13:18:00,-125.0
2014-01-03 13:19:00,-125.0
2014-01-03 13:20:00,-125.0
2014-01-03 13:21:00,-125.0
2014-01-03 13:22:00,-125.0
2014-01-03 13:23:00,-125.0
2014-01-03 13:24:00,-125.0
2014-01-03 13:25:00,-125.0
2014-01-03 13:26:00,-125.0
2014-01-03 13:27:00,-125.0
2014-01-03 13:28:00,-125.0
2014-01-03 13:29:00,-125.0
2014-01-03 13:30:00,-125.0
2014-01-03 13:31:00,-125.0
2014-01-03 13:32:00,-125.0
2014-01-03 13:33:00,-125.0
2014-01-03 13:34:00,-2.0
2014-01-03 13:35:00,-2.0
2014-01-03 13:36:00,124.0
2014-01-03 13:37:00,124.0
2014-01-03 13:38:00,124.0
2014-01-03 13:39:00,124.0
2014-01-03 13:40:00,124.0
2014-01-03 13:41:00,124.0
2014-01-03 13:42:00,0.0
2014-01-03 13:43:00,0.0
2014-01-03 13:44:00,-124.0
2014-01-03 13:45:00,-124.0
2014-01-03 13:46:00,-124.0
2014-01-03 13:47:00,-124.0
2014-01-03 13:48:00,-124.0
2014-01-03 13:49:00,-124.0
2014-01-03 13:50:00,-124.0
2014-01-03 13:51:00,-124.0
2014-01-03 13:52:00,-124.0
2014-01-03 13:53:00,-124.0
2014-01-03 13:54:00,-1.0
2014-01-03 13:55:00,-1.0
2014-01-03 13:56:00,123.0
2014-01-03 13:57:00,123.0
2014-01-03 13:58:00,123.0
2014-01-03 13:59:00,123.0
2014-01-03 14:00:00,-1.0
2014-01-03 14:01:00,-1.0
2014-01-03 14:02:00,-124.0
2014-01-03 14:03:00,-124.0
2014-01-03 14:04:00,-124.0
2014-01-03 14:05:00,-124.0
2014-01-03 14:06:00,-124.0
2014-01-03 14:07:00,-124.0
2014-01-03 14:08:00,-124.0
2014-01-03 14:09:00,-124.0
2014-01-03 14:10:00,-124.0
2014-01-03 14:11:00,-124.0
2014-01-03 14:12:00,-124.0
2014-01-03 14:13:00,-124.0
2014-01-03 14:14:00,-124.0
2014-01-03 14:15:00,-124.0
2014-01-03 14:16:00,-124.0
2014-01-03 14:17:00,-124.0
2014-01-03 14:18:00,-124.0
2014-01-03 14:19:00,-124.0
2014-01-03 14:20:00,-124.0
2014-01-03 14:21:00,-124.0
2014-01-03 14:22:00,-124.0
2014-01-03 14:23:00,-124.0
2014-01-03 14:24:00,-124.0
2014-01-03 14:25:00,-124.0
2014-01-03 14:26:00,-124.0
2014-01-03 14:27:00,-124.0
2014-01-03 14:28:00,-2.0
2014-01-03 14:29:00,-2.0
2014-01-03 14:30:00,123.0
2014-01-03 14:31:00,123.0
2014-01-03 14:32:00,122.0
2014-01-03 14:33:00,122.0
2014-01-03 14:34:00,-1.0
2014-01-03 14:35:00,-1.0
2014-01-03 14:36:00,-123.0
2014-01-03 14:37:00,-123.0
2014-01-03 14:38:00,-123.0
2014-01-03 14:39:00,-123.0
2014-01-03 14:40:00,-123.0
2014-01-03 14:41:00,-123.0
2014-01-03 14:42:00,-123.0
2014-01-03 14:43:00,-123.0
2014-01-03 14:44:00,-1.0
2014-01-03 14:45:00,-1.0
2014-01-03 14:46:00,122.0
2014-01-03 14:47:00,122.0
2014-01-03 14:48:00,122.0
2014-01-03 14:49:00,122.0
2014-01-03 14:50:00,122.0
2014-01-03 14:51:00,122.0
2014-01-03 14:52:00,122.0
2014-01-03 14:53:00,122.0
2014-01-03 14:54:00,122.0
2014-01-03 14:55:00,122.0
2014-01-03 14:56:00,-1.0
2014-01-03 14:57:00,-1.0
2014-01-03 14:58:00,-123.0
2014-01-03 14:59:00,-123.0
2014-01-03 15:00:00,-123.0
