,zz500
2014-01-03 10:22:00,3815.84
2014-01-03 10:23:00,3814.39
2014-01-03 10:24:00,3814.25
2014-01-03 10:25:00,3815.37
2014-01-03 10:26:00,3816.91
2014-01-03 10:27:00,3818.17
2014-01-03 10:28:00,3819.82
2014-01-03 10:29:00,3821.03
2014-01-03 10:30:00,3822.36
2014-01-03 10:31:00,3822.8
2014-01-03 10:32:00,3823.27
2014-01-03 10:33:00,3823.61
2014-01-03 10:34:00,3823.0
2014-01-03 10:35:00,3823.11
2014-01-03 10:36:00,3823.21
2014-01-03 10:37:00,3822.75
2014-01-03 10:38:00,3822.0
2014-01-03 10:39:00,3821.23
2014-01-03 10:40:00,3820.42
2014-01-03 10:41:00,3819.76
2014-01-03 10:42:00,3818.95
2014-01-03 10:43:00,3818.54
2014-01-03 10:44:00,3818.95
2014-01-03 10:45:00,3819.97
2014-01-03 10:46:00,3818.48
2014-01-03 10:47:00,3816.21
2014-01-03 10:48:00,3813.92
2014-01-03 10:49:00,3813.54
2014-01-03 10:50:00,3811.96
2014-01-03 10:51:00,3810.68
2014-01-03 10:52:00,3809.61
2014-01-03 10:53:00,3808.28
2014-01-03 10:54:00,3806.69
2014-01-03 10:55:00,3804.5
2014-01-03 10:56:00,3803.34
2014-01-03 10:57:00,3803.47
2014-01-03 10:58:00,3803.75
2014-01-03 10:59:00,3804.5
2014-01-03 11:00:00,3805.37
2014-01-03 11:01:00,3806.35
2014-01-03 11:02:00,3807.34
2014-01-03 11:03:00,3808.87
2014-01-03 11:04:00,3809.27
2014-01-03 11:05:00,3810.47
2014-01-03 11:06:00,3810.58
2014-01-03 11:07:00,3810.95
2014-01-03 11:08:00,3811.11
2014-01-03 11:09:00,3812.51
2014-01-03 11:10:00,3813.89
2014-01-03 11:11:00,3814.64
2014-01-03 11:12:00,3815.75
2014-01-03 11:13:00,3816.02
2014-01-03 11:14:00,3816.11
2014-01-03 11:15:00,3815.66
2014-01-03 11:16:00,3815.59
2014-01-03 11:17:00,3815.15
2014-01-03 11:18:00,3815.12
2014-01-03 11:19:00,3814.4
2014-01-03 11:20:00,3813.64
2014-01-03 11:21:00,3812.07
2014-01-03 11:22:00,3811.88
2014-01-03 11:23:00,3811.37
2014-01-03 11:24:00,3811.3
2014-01-03 11:25:00,3810.52
2014-01-03 11:26:00,3809.46
2014-01-03 11:27:00,3808.6
