,nav,order num,trade_cost,trade_volume,cash,ret,cum_ret,draw_down,turnover
2014-01-02 10:30:00,99391188.734,1.0,0.0,0.0,49714600.734000005,-4.0546031812558834e-05,-0.006106720781884438,-0.006088112659999978,0.0
2014-01-02 10:31:00,99384038.734,0.0,0.0,0.0,49714600.734000005,-7.19405541038338e-05,-0.006178661335988271,-0.00615961265999998,0.0
2014-01-02 10:32:00,99365968.734,1.0,0.0,0.0,49714600.734000005,-0.00018183647165598225,-0.006360497807644253,-0.006340312660000014,0.0
2014-01-02 10:33:00,99356218.734,0.0,0.0,0.0,49714600.734000005,-9.812693924171395e-05,-0.006458624746885968,-0.006437812659999986,0.0
2014-01-02 10:34:00,99348938.734,1.0,0.0,0.0,49714600.734000005,-7.327439404214435e-05,-0.006531899140928112,-0.006510612660000081,0.0
2014-01-02 10:35:00,99344778.734,0.0,0.0,0.0,49714600.734000005,-4.187349306880348e-05,-0.006573772633996915,-0.006552212660000056,0.0
2014-01-02 10:36:00,99348938.734,1.0,0.0,0.0,49714600.734000005,4.1873493068926106e-05,-0.006531899140927989,-0.006510612660000081,0.0
2014-01-02 10:37:00,99359988.734,0.0,0.0,0.0,49714600.734000005,0.00011121795233051629,-0.006420681188597473,-0.006400112660000068,0.0
2014-01-02 10:38:00,99378578.734,1.0,0.0,0.0,49714600.734000005,0.00018707994418059703,-0.006233601244416876,-0.006214212659999996,0.0
2014-01-02 10:39:00,99388588.734,0.0,0.0,0.0,49714600.734000005,0.00010072085984788198,-0.006132880384568994,-0.0061141126600000595,0.0
2014-01-02 10:40:00,99402758.734,1.0,0.0,0.0,49714600.734000005,0.0001425615370537084,-0.005990318847515286,-0.005972412660000037,0.0
2014-01-02 10:41:00,99408868.734,0.0,0.0,0.0,49714600.734000005,6.146521790246184e-05,-0.005928853629612824,-0.005911312660000001,0.0
2014-01-02 10:42:00,99304216.89200002,1.0,98671.84199999999,49434592.84199999,98951849.892,-0.0010532960257311505,-0.006982149655343974,-0.00695783107999981,0.49780960355151305
2014-01-02 10:43:00,99304112.89200002,0.0,0.0,0.0,98951849.892,-1.0472873933182043e-06,-0.006983196942737292,-0.006958871079999818,0.0
2014-01-02 10:44:00,99204555.87200001,1.0,99483.02,49840993.02,49845672.872000016,-0.0010030496800667945,-0.007986246622804087,-0.007954441279999891,0.5024062915447957
2014-01-02 10:45:00,99208038.87200001,0.0,0.0,0.0,49845672.872000016,3.51086583476112e-05,-0.007951137964456475,-0.00791961127999996,0.0
2014-01-02 10:46:00,99200298.87200001,1.0,0.0,0.0,49845672.872000016,-7.802091476528171e-05,-0.008029158879221758,-0.007997011279999966,0.0
2014-01-02 10:47:00,99178497.87200001,0.0,0.0,0.0,49845672.872000016,-0.00021979163545284263,-0.0082489505146746,-0.008215021279999957,0.0
2014-01-02 10:48:00,99063232.35200001,1.0,99398.51999999999,49798658.519999996,98680930.35200001,-0.001162878601383143,-0.009411829116057743,-0.00936767647999992,0.5026956756574539
2014-01-02 10:49:00,99063177.35200001,0.0,0.0,0.0,98680930.35200001,-5.552010968997138e-07,-0.009412384317154642,-0.009368226479999908,0.0
2014-01-02 10:50:00,98964424.83200002,1.0,98669.52000000002,49433429.52,49247500.83200001,-0.0009973612475925584,-0.0104097455647472,-0.010355751679999803,0.49950706634143716
2014-01-02 10:51:00,98930494.83200002,0.0,0.0,0.0,49247500.83200001,-0.0003429092610369522,-0.010752654825784153,-0.010695051679999845,0.0
2014-01-02 10:52:00,98819237.264,1.0,97997.56800000001,49096781.568,98148287.264,-0.0011252362120534151,-0.011877891037837568,-0.011807627359999961,0.496834249356082
2014-01-02 10:53:00,98819021.264,0.0,0.0,0.0,98148287.264,-2.1858116096183145e-06,-0.011880076849447186,-0.011809787360000046,0.0
2014-01-02 10:54:00,98720883.248,1.0,98038.016,49117046.016,49031241.247999996,-0.0009936020199695912,-0.012873678869416778,-0.01279116752000009,0.49753450739101923
2014-01-02 10:55:00,98708923.248,0.0,0.0,0.0,49031241.247999996,-0.00012115698462049446,-0.012994835854037273,-0.012910767520000088,0.0
2014-01-02 10:56:00,98692036.894,1.0,766.354,383943.354,49413651.893999994,-0.00017108684809889762,-0.01316592270213617,-0.013079631060000096,0.0038903174570444187
2014-01-02 10:57:00,98675395.894,0.0,0.0,0.0,49413651.893999994,-0.00016862964476322957,-0.0133345523468994,-0.013246041060000047,0.0
2014-01-02 10:58:00,98670235.894,1.0,0.0,0.0,49413651.893999994,-5.229403817475276e-05,-0.013386846385074152,-0.013297641060000087,0.0
2014-01-02 10:59:00,98658496.894,0.0,0.0,0.0,49413651.893999994,-0.00011897912532035826,-0.01350582551039451,-0.013415031060000082,0.0
2014-01-02 11:00:00,98672041.894,1.0,0.0,0.0,49413651.893999994,0.0001372823497515965,-0.013368543160642914,-0.013279581060000045,0.0
2014-01-02 11:01:00,98651917.894,0.0,0.0,0.0,49413651.893999994,-0.00020396914892031724,-0.013572512309563231,-0.013480821060000037,0.0
2014-01-02 11:02:00,98656561.894,1.0,0.0,0.0,49413651.893999994,4.70734963428844e-05,-0.013525438813220346,-0.013434381060000056,0.0
2014-01-02 11:03:00,98641339.894,0.0,0.0,0.0,49413651.893999994,-0.00015430473301798644,-0.013679743546238332,-0.013586601060000092,0.0
2014-01-02 11:04:00,98638372.894,1.0,0.0,0.0,49413651.893999994,-3.0079119219070804e-05,-0.013709822665457403,-0.013616271060000074,0.0
2014-01-02 11:05:00,98634631.894,0.0,0.0,0.0,49413651.893999994,-3.792713559028889e-05,-0.013747749801047692,-0.013653681060000089,0.0
2014-01-02 11:06:00,98638501.894,1.0,0.0,0.0,49413651.893999994,3.923494219593509e-05,-0.013708514858851757,-0.013614981060000031,0.0
2014-01-02 11:07:00,98652820.894,0.0,0.0,0.0,49413651.893999994,0.00014515590268028157,-0.013563358956171475,-0.013471791060000071,0.0
2014-01-02 11:08:00,98652691.894,1.0,0.0,0.0,49413651.893999994,-1.3076167834667967e-06,-0.013564666572954942,-0.013473081060000114,0.0
2014-01-02 11:09:00,98633341.894,0.0,0.0,0.0,49413651.893999994,-0.0001961618842501722,-0.013760828457205113,-0.013666581060000071,0.0
2014-01-02 11:10:00,98618635.894,1.0,0.0,0.0,49413651.893999994,-0.00014910877135088975,-0.013909937228556003,-0.013813641060000048,0.0
2014-01-02 11:11:00,98598382.894,0.0,0.0,0.0,49413651.893999994,-0.00020538795480900377,-0.014115325183365007,-0.014016171060000082,0.0
2014-01-02 11:12:00,98585611.894,1.0,0.0,0.0,49413651.893999994,-0.0001295338400217033,-0.01424485902338671,-0.014143881060000085,0.0
2014-01-02 11:13:00,98587546.894,0.0,0.0,0.0,49413651.893999994,1.962741797068366e-05,-0.014225231605416026,-0.014124531060000112,0.0
2014-01-02 11:14:00,98597092.894,1.0,0.0,0.0,49413651.893999994,9.682295758650167e-05,-0.014128408647829525,-0.014029071060000065,0.0
2014-01-02 11:15:00,98592706.894,0.0,0.0,0.0,49413651.893999994,-4.448505962724269e-05,-0.014172893707456767,-0.014072931060000071,0.0
2014-01-02 11:16:00,98609476.894,1.0,0.0,0.0,49413651.893999994,0.0001700792528592324,-0.014002814454597536,-0.013905231060000078,0.0
2014-01-02 11:17:00,98604187.894,0.0,0.0,0.0,49413651.893999994,-5.363725690058411e-05,-0.01405645171149812,-0.01395812106000005,0.0
2014-01-02 11:18:00,98594125.894,1.0,0.0,0.0,49413651.893999994,-0.00010204955423247385,-0.014158501265730594,-0.014058741060000046,0.0
2014-01-02 11:19:00,98585869.894,0.0,0.0,0.0,49413651.893999994,-8.374074633516826e-05,-0.014242242012065762,-0.014141301060000111,0.0
